"Артикул","Тип","Имя","Короткое описание","Опубликован","Видимость в каталоге","В наличии?","Запасы","Базовая цена","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить обзоры от клиентов?","Изображения","Категории","Метки","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2"
244990,simple,"ДИНОЗАВР, ХОДИТ, ДВИГ","ДИНОЗАВР, ХОДИТ, ДВИГАЕТ ГОЛОВОЙ",1,visible,1,1,1316,15,32,34,1,http://img.simba-trade.ru/site1/244990_c.jpg,"Животные","Радиоуправляемые, Со светом, Со звуком, Ходит",пол,"Для девочек, Для мальчиков"
244722,simple,"ПИСТОЛЕТ","ПИСТОЛЕТ (П) С ГЛУШИТЕЛЕМ M93-16",1,visible,1,1,295,5,43,16,1,http://img.simba-trade.ru/site1/244722_c.jpg,"Оружие","",пол,"Для мальчиков"
220352,simple,"ЗЕРКАЛО, С АКСЕСС.","ЗЕРКАЛО, С АКСЕСС.",1,visible,1,1,914,39,43,26,1,http://img.simba-trade.ru/site1/220352_c.jpg,"Другое","На батарейках, Со светом, Со звуком",пол,"Для девочек"
245561,simple,"МАШИНА ИНЕРЦ. ДЖИП С ВЕРТОЛЕТОМ НА ПРИЦЕПЕ 204A-2","МАШИНА ИНЕРЦ. ДЖИП С ВЕРТОЛЕТОМ НА ПРИЦЕПЕ 204A-2",1,visible,1,1,324,16,42,16,1,http://img.simba-trade.ru/site1/245561_c.jpg,"Машинки","",пол,"Для мальчиков"
247832,simple,"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' ДЛИНА ПОЛОТНА 188СМ","ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' ДЛИНА ПОЛОТНА 188СМ",1,visible,1,1,202,4,25,25,1,http://img.simba-trade.ru/site1/247832_c.jpg,"Железные дороги","На батарейках",пол,"Для мальчиков"
248004,simple,"ПИСТОЛЕТ (П) ЧЕРНЫЙ С ГЛУШИТЕЛЕМ","ПИСТОЛЕТ (П) ЧЕРНЫЙ С ГЛУШИТЕЛЕМ, С ПУЛЬКАМИ 669-1 В ПАК.",1,visible,1,1,131,3,19,14,1,http://img.simba-trade.ru/site1/248004_c.jpg,"Оружие","",пол,"Для мальчиков"
227867,simple,"РОБОТ, ХОДИТ","РОБОТ, ХОДИТ",1,visible,1,1,523,11,28,20,1,http://img.simba-trade.ru/site1/227867_c.jpg,"Роботы","На батарейках, Со светом, Со звуком, Ходит",пол,"Для мальчиков"
247833,simple,"РОБОТ-МАШИНА ПОЛИЦИЯ  1201","РОБОТ-МАШИНА ПОЛИЦИЯ  1201",1,visible,1,1,521,13,26,12,1,http://img.simba-trade.ru/site1/247833_c.jpg,"Машинки","На батарейках, Со светом, Со звуком",пол,"Для мальчиков"
247898,simple,"ДЖИП","ДЖИП",1,visible,1,1,940,17,34,17,1,http://img.simba-trade.ru/site1/247898_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247894,simple,"КУКЛА 29СМ С НАБОРОМ ОДЕЖДЫ И АКСЕСС.","КУКЛА 29СМ С НАБОРОМ ОДЕЖДЫ И АКСЕСС.",1,visible,1,1,155,5,26,33,1,http://img.simba-trade.ru/site1/247894_c.jpg,"Куклы","",пол,"Для девочек"
247897,simple,"КУКЛА 29СМ С КРЫЛЬЯМИ","КУКЛА 29СМ С КРЫЛЬЯМИ, С АКСЕСС.",1,visible,1,1,198,26,14,5,1,http://img.simba-trade.ru/site1/247897_c.jpg,"Куклы","",пол,"Для девочек"
247900,simple,"НАБОР ИЗ 2-Х КУКОЛ 29СМ С АКСЕСС.","НАБОР ИЗ 2-Х КУКОЛ 29СМ С АКСЕСС.",1,visible,1,1,97,33,13,4,1,http://img.simba-trade.ru/site1/247900_c.jpg,"Куклы","",пол,"Для девочек"
247956,simple,"ЖЕЛЕЗНАЯ ДОРОГА С ДЫМОМ V8088","ЖЕЛЕЗНАЯ ДОРОГА С ДЫМОМ V8088",1,visible,1,1,839,7,56,36,1,http://img.simba-trade.ru/site1/247956_c.jpg,"Железные дороги","На батарейках",пол,"Для мальчиков"
247957,simple,"ВЕРТОЛЕТ, USB З/У M5","ВЕРТОЛЕТ, USB З/У M5",1,visible,1,1,1564,19,48,9,1,http://img.simba-trade.ru/site1/247957_c.jpg,"Вертолеты","Радиоуправляемые, Со светом",пол,"Для мальчиков"
247960,simple,"ПИСТОЛЕТ ОЗВУЧ., С МЯГК","ПИСТОЛЕТ ОЗВУЧ., С МЯГКИМИ ПУЛЯМИ XMY7024",1,visible,1,1,1405,13,50,25,1,http://img.simba-trade.ru/site1/247960_c.jpg,"Оружие","На батарейках",пол,"Для мальчиков"
247962,simple,"МАШИНА 1630-3A","МАШИНА 1630-3A",1,visible,1,1,874,20,35,18,1,http://img.simba-trade.ru/site1/247962_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247963,simple,"МАШИНА, ОТКРЫВ. ДВЕРИ","МАШИНА, ОТКРЫВ. ДВЕРИ",1,visible,1,1,1410,23,44,21,1,http://img.simba-trade.ru/site1/247963_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247993,simple,"МАШИНА","МАШИНА",1,visible,1,1,1024,19,42,13,1,http://img.simba-trade.ru/site1/247993_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
211727,simple,"МАШИНА СТРОИТ. ТЕХНИКА","МАШИНА СТРОИТ. ТЕХНИКА",1,visible,1,1,1159,21,38,13,1,http://img.simba-trade.ru/site1/211727_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247532,simple,"МАШИНА","МАШИНА  688-4",1,visible,1,1,278,9,17,11,1,http://img.simba-trade.ru/site1/247532_c.jpg,"Машинки","На батарейках, Со светом, Со звуком",пол,"Для мальчиков"
247835,simple,"ПУПС ФУНКЦ.","ПУПС ФУНКЦ., ПЬЕТ И ПИСАЕТ, С АКСЕСС.",1,visible,1,1,527,12,22,25,1,http://img.simba-trade.ru/site1/247835_c.jpg,"Куклы","",пол,"Для девочек"
247895,simple,"МАШИНА","МАШИНА",1,visible,1,1,858,16,26,17,1,http://img.simba-trade.ru/site1/247895_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247959,simple,"ПИСТОЛЕТ С ЛАЗЕР. ПРИЦЕЛОМ","ПИСТОЛЕТ С ЛАЗЕР. ПРИЦЕЛОМ, С МЯГКИМИ ПУЛЯМИ НА ПРИСОСКАХ",1,visible,1,1,403,20,34,6,1,http://img.simba-trade.ru/site1/247959_c.jpg,"Оружие","",пол,"Для мальчиков"
247961,simple,"ТРЕК ГОНОЧНЫЙ С МАШИНКАМИ 589-40A","ТРЕК ГОНОЧНЫЙ С МАШИНКАМИ 589-40A",1,visible,1,1,906,5,61,44,1,http://img.simba-trade.ru/site1/247961_c.jpg,"Машинки","На батарейках",пол,"Для мальчиков"
248003,simple,"МАШИНА-АКУЛА","МАШИНА-АКУЛА KD-8815C",1,visible,1,1,278,19,21,11,1,http://img.simba-trade.ru/site1/248003_c.jpg,"Машинки","",пол,"Для мальчиков"
229327,simple,"РОБОТ-МАШИНА","РОБОТ-МАШИНА С АКСЕСС. L015-19",1,visible,1,1,461,10,28,29,1,http://img.simba-trade.ru/site1/229327_c.jpg,"Машинки","",пол,"Для мальчиков"
